Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
TX2KHSBE,journalArticle,2016,"Freeman, Jonathan B.; Pauker, Kristin; Sanchez, Diana T.",A Perceptual Pathway to Bias: Interracial Exposure Reduces Abrupt Shifts in Real-Time Race Perception That Predict Mixed-Race Bias,Psychological Science,,"0956-7976, 1467-9280",10.1177/0956797615627418,http://journals.sagepub.com/doi/10.1177/0956797615627418,"In two national samples, we examined the influence of interracial exposure in one’s local environment on the dynamic process underlying race perception and its evaluative consequences. Using a mouse-tracking paradigm, we found in Study 1 that White individuals with low interracial exposure exhibited a unique effect of abrupt, unstable White-Black category shifting during real-time perception of mixed-race faces, consistent with predictions from a neural-dynamic model of social categorization and computational simulations. In Study 2, this shifting effect was replicated and shown to predict a trust bias against mixed-race individuals and to mediate the effect of low interracial exposure on that trust bias. Taken together, the findings demonstrate that interracial exposure shapes the dynamics through which racial categories activate and resolve during real-time perceptions, and these initial perceptual dynamics, in turn, may help drive evaluative biases against mixed-race individuals. Thus, lower-level perceptual aspects of encounters with racial ambiguity may serve as a foundation for mixed-race prejudice.",2016-04,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,502-517,,4,27,,Psychol Sci,A Perceptual Pathway to Bias,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/3K3VUTVZ/Freeman et al. - 2016 - A Perceptual Pathway to Bias Interracial Exposure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3ZSLI9Y,journalArticle,2011,"Ho, Arnold K.; Sidanius, Jim; Levin, Daniel T.; Banaji, Mahzarin R.",Evidence for hypodescent and racial hierarchy in the categorization and perception of biracial individuals.,Journal of Personality and Social Psychology,,"1939-1315, 0022-3514",10.1037/a0021562,http://doi.apa.org/getdoi.cfm?doi=10.1037/a0021562,"Individuals who qualify equally for membership in two racial groups provide a rare window into social categorization and perception. In 5 experiments, we tested the extent to which a rule of hypodescent, whereby biracial individuals are assigned the status of their socially subordinate parent group, would govern perceptions of Asian–White and Black–White targets. In Experiment 1, in spite of posing explicit questions concerning Asian–White and Black–White targets, hypodescent was observed in both cases and more strongly in Black–White social categorization. Experiments 2A and 2B used a speeded response task and again revealed evidence of hypodescent in both cases, as well as a stronger effect in the Black–White target condition. In Experiments 3A and 3B, social perception was studied with a face-morphing task. Participants required a face to be lower in proportion minority to be perceived as minority than in proportion White to be perceived as White. Again, the threshold for being perceived as White was higher for Black–White than for Asian–White targets. An independent categorization task in Experiment 3B further confirmed the rule of hypodescent and variation in it that reflected the current racial hierarchy in the United States. These results documenting biases in the social categorization and perception of biracials have implications for resistance to change in the American racial hierarchy.",2011-03,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,492-506,,3,100,,Journal of Personality and Social Psychology,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/2QXA3N3C/Ho et al. - 2011 - Evidence for hypodescent and racial hierarchy in t.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9HFMIF9,journalArticle,2014,"Krosch, A. R.; Amodio, D. M.",Economic scarcity alters the perception of race,Proceedings of the National Academy of Sciences,,"0027-8424, 1091-6490",10.1073/pnas.1404448111,http://www.pnas.org/cgi/doi/10.1073/pnas.1404448111,,6/24/14,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,9079-9084,,25,111,,Proceedings of the National Academy of Sciences,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/4FUL2AWH/Krosch and Amodio - 2014 - Economic scarcity alters the perception of race.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWDMFKYH,journalArticle,2020,"Banai, Ayelet; Shoshana, Avihu","Relocated ethnicities: how do national-cultural repertoires shape the ethnicities of migrants? Evidence from Israeli Mizrahim in Israel, the United States, and Germany",Ethnic and Racial Studies,,"0141-9870, 1466-4356",10.1080/01419870.2019.1635257,https://www.tandfonline.com/doi/full/10.1080/01419870.2019.1635257,,5/2/20,7/16/21 16:06,7/16/21 16:06,3/24/21 20:17,1091-1109,,6,43,,Ethnic and Racial Studies,Relocated ethnicities,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/4FBP4FXK/Banai and Shoshana - 2020 - Relocated ethnicities how do national-cultural re.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V3TQM92L,journalArticle,2021,"Schachter, Ariela",Intersecting Boundaries: Comparing Stereotypes of Native- and Foreign-Born Members of Ethnoracial Groups,Social Forces,,"0037-7732, 1534-7605",10.1093/sf/soab004,https://academic.oup.com/sf/advance-article/doi/10.1093/sf/soab004/6132544,"Abstract             Past research finds that Americans hold biased stereotypes about ethnoracial groups and about immigrants, but we lack an understanding of how these group identities intersect. Immigration theories offer opposing predictions; while the straight-line assimilation model predicts Americans will hold weaker ethnoracial stereotypes about the native-born compared to their immigrant coethnics, theories of racialized assimilation suggest that the enduring power of race will limit any differential stereotyping of immigrant and native-born members of racialized groups. I use an original survey experiment to compare Americans’ stereotypes of native- and foreign-born members of the four largest ethnoracial groups in the United States—Whites, Blacks, Latinos, and Asians. As predicted by straight-line assimilation theory, I find that Whites’ negative stereotypes of Latinos fade away with nativity; however, White Americans do not substantially alter their stereotypes of Asians and Blacks based on nativity status. Moreover, native-born Black and Latino Americans do not appear to hold differential stereotypes of ethnoracial groups based on their nativity status. This research highlights both the importance and limitations of accounting for nativity status to understand ethnoracial group boundaries in the United States.",2/10/21,7/16/21 16:06,7/16/21 16:06,3/23/21 20:05,soab004,,,,,,Intersecting Boundaries,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/BWBCP5NK/Schachter - 2021 - Intersecting Boundaries Comparing Stereotypes of .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPY5PLNM,journalArticle,2016,"Davenport, Lauren D.","The Role of Gender, Class, and Religion in Biracial Americans’ Racial Labeling Decisions",American Sociological Review,,"0003-1224, 1939-8271",10.1177/0003122415623286,http://journals.sagepub.com/doi/10.1177/0003122415623286,"Racial attachments are understood to be socially constructed and endogenous to gender, socioeconomic, and religious identities. Yet we know surprisingly little about the effect of such identities on the particular racial labels that individuals self-select. In this article, I investigate how social identities shape the racial labels chosen by biracial individuals in the United States, a rapidly growing population who have multiple labeling options. Examining national surveys of more than 37,000 respondents of Latino-white, Asian-white, and blackwhite parentage, I disentangle how gender, socioeconomic status, and religious identity influence racial labeling decisions. Across biracial subgroups and net of all other influences, economic affluence and Jewish identity predict whiter self-identification, whereas belonging to a religion more commonly associated with racial minorities is associated with a minority identification. Gender, however, is the single best predictor of identification, with biracial women markedly more likely than biracial men to identify as multiracial. These findings help us better understand the contextual nature of racial identification and the processes via which social identities interact with racial meanings in the United States.",2016-02,7/16/21 16:06,7/16/21 16:06,3/13/21 16:05,57-84,,1,81,,Am Sociol Rev,,,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/gabe/Zotero/storage/AAY5ETHI/Davenport - 2016 - The Role of Gender, Class, and Religion in Biracia.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTXKQSAG,journalArticle,2007,"Campbell, Mary E.; Troyer, Lisa",The Implications of Racial Misclassification by Observers,American Sociological Review,,"0003-1224, 1939-8271",10.1177/000312240707200505,http://journals.sagepub.com/doi/10.1177/000312240707200505,"We hypothesize that individuals who self-identify with one racial group but are routinely perceived by observers as “looking like” another racial group may experience negative outcomes associated with this stressful situation. Since American Indians experience very high rates of misclassification, we use them as our case in point. Drawing from the National Longitudinal Survey of Adolescent Health, our analyses compare young American Indian adults who are perceived as another race by an observer to those who are correctly classified, using several indicators of psychological distress: depression, suicidal thoughts, use of psychological counseling services, suicide attempts, and fatalism. We also investigate differences in racial attitudes and behaviors, such as belonging to an ethnic solidarity organization or believing it is important to have a committed relationship with someone of the same race. The evidence suggests that, onthe whole, misclassified American Indians have higher rates of psychological distress. We conclude by discussing our findings and their wider implications, especially in the context of an increasingly heterogeneous and multiracial society.",2007-10,7/16/21 16:06,7/16/21 16:06,3/13/21 16:05,750-765,,5,72,,Am Sociol Rev,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/7YMFY42G/Campbell and Troyer - 2007 - The Implications of Racial Misclassification by Ob.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IVV3SF,journalArticle,2016,"Davenport, Lauren D.",Beyond Black and White: Biracial Attitudes in Contemporary U.S. Politics,American Political Science Review,,"0003-0554, 1537-5943",10.1017/S0003055415000556,https://www.cambridge.org/core/product/identifier/S0003055415000556/type/journal_article,"The 2000 U.S. census was the first in which respondents were permitted to self-identify with more than one race. A decade later, multiple-race identifiers have become one of the fastest-growing groups in the nation. Such broadening multiracial identification poses important political ramifications and raises questions about the future of minority group political solidarity. Yet we know little about the opinions of multiple-race identifiers and from where those opinions emerge. Bridging literatures in racial politics and political socialization, and drawing upon a multimethod approach, this article provides insight into the consequences of the U.S.’s increasingly blurred racial boundaries by examining the attitudes of Americans of White-Black parentage, a population whose identification was traditionally constrained by the one-drop rule. Findings show that on racial issues such as discrimination and affirmative action, biracials who identify as both White and Black generally hold views akin to Blacks. But on nonracial political issues including abortion and gender/marriage equality, biracials who identify as White-Black or as Black express more liberal views than their peers of monoracial parentage. Being biracial and labeling oneself a racial minority is thus associated with a more progressive outlook on matters that affect socially marginalized groups. Two explanations are examined for these findings: the transmission of political outlook from parents to children, and biracials’ experiences straddling a long-standing racial divide.",2016-02,7/16/21 16:06,7/16/21 16:06,3/13/21 16:05,52-67,,1,110,,Am Polit Sci Rev,Beyond Black and White,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/3HXEMPT5/Davenport - 2016 - Beyond Black and White Biracial Attitudes in Cont.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5S2R623,journalArticle,2020,"Davenport, Lauren D.",The Fluidity of Racial Classifications,Annual Review of Political Science,,"1094-2939, 1545-1577",10.1146/annurev-polisci-060418-042801,https://www.annualreviews.org/doi/10.1146/annurev-polisci-060418-042801,"In this article, I review the social science literature on racial fluidity, the idea that race is flexible and impermanent. I trace the ongoing evolution of racial classifications and boundaries in the United States and Latin America, two regions that share a history of European colonization, slavery, and high levels of race mixing but that have espoused very different racial ideologies. Traditionally, for many groups in the United States, race was seen as unchangeable and determined by ancestry; in contrast, parts of Latin America have lacked strict classification rules and embraced race mixing. However, recent research has shown that race in the United States can change across time and context, particularly for populations socially defined as more ambiguous, while some Latin American racial boundaries are becoming more stringent. I argue that the fluidity of race has redefined our understanding of racial identities, and propose several directions for future political science scholarship that bridges disciplines and methodological approaches.",5/11/20,7/16/21 16:06,7/16/21 16:06,3/13/21 16:05,221-240,,1,23,,Annu. Rev. Polit. Sci.,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/N32QUCY6/Davenport - 2020 - The Fluidity of Racial Classifications.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP7XQI3,journalArticle,2021,"Mora, G Cristina; Perez, Reuben; Vargas, Nicholas",Who Identifies as “Latinx”? The Generational Politics of Ethnoracial Labels,Social Forces,,"0037-7732, 1534-7605",10.1093/sf/soab011,https://academic.oup.com/sf/advance-article/doi/10.1093/sf/soab011/6148737,"Abstract             Over the past 5 years, the “Latinx” label has become increasingly popular within academia, politics, and social media. Yet, little is known about who has adopted the term at this relatively early stage and how it might be interpreted. Drawing on a unique data set of US-born Californians, as well as Latina/o/x Studies insight, this paper provides the first academic survey results on “Latinx” identification. We find that close to 25 percent of respondents identify with the term regularly, and that its early adoption varies across groups. Specifically, political ideology, especially progressive politics, is strongly correlated with use of the label. We also find that both immigrant generation and birth cohort matter considerably, with second generation immigrants and people born in Generation Z (since 1995) most likely to identify with the term. Finally, our findings show that “Latinx” is largely understood as complementary to, not mutually exclusive of, other panethnic labels like “Hispanic” and “Latino.” Taken together, our results suggest that generational politics matter for understanding early label diffusion and that Latinos adopt a variety of panethnic labels that they likely use in different contexts. We discuss these findings in terms of our broader understanding of Latinidad, racialization, and the symbolic power of ethnoracial labels.",2/24/21,7/16/21 16:06,7/16/21 16:06,3/23/21 20:05,soab011,,,,,,Who Identifies as “Latinx”?,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/PVBPR7AN/Mora et al. - 2021 - Who Identifies as “Latinx” The Generational Polit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTTXIJNG,journalArticle,2020,"Abascal, Maria",Contraction as a Response to Group Threat: Demographic Decline and Whites’ Classification of People Who Are Ambiguously White,American Sociological Review,,"0003-1224, 1939-8271",10.1177/0003122420905127,http://journals.sagepub.com/doi/10.1177/0003122420905127,"How do members of dominant groups, like White people in the United States, react when their privileged social status is threatened, for example, by the prospect of numeric decline? Prior studies identify two sets of reactions: (1) White people identify more strongly with ingroup members, and (2) they withhold material and symbolic resources from outgroup members. This study explores another possibility: White people may alter the boundary around Whiteness by redefining the criteria for membership. I use an original survey experiment to examine how demographic threat affects how White people in the United States classify people who are ambiguously White, and specifically people who are ambiguously White or Latino. The results reveal that White people are less—not more—likely to classify people who are ambiguously White or Latino as “White” under threat. The results contribute to a growing literature on the racial classification of multiracial and racially ambiguous people that has previously ignored ambiguity around the Latino category. They also speak to an active debate about demographic projections and the classification decisions on which they rest.",2020-04,7/16/21 16:06,7/16/21 16:06,3/19/21 15:53,298-322,,2,85,,Am Sociol Rev,Contraction as a Response to Group Threat,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/MJ2VYKQG/Abascal - 2020 - Contraction as a Response to Group Threat Demogra.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X398YP6R,journalArticle,2011,"Cheng, Simon; Powell, Brian",Misclassification by Whom?: A Comment on Campbell and Troyer (2007),American Sociological Review,,"0003-1224, 1939-8271",10.1177/0003122411401249,http://journals.sagepub.com/doi/10.1177/0003122411401249,,2011-04,7/16/21 16:06,7/16/21 16:06,3/13/21 16:05,347-355,,2,76,,Am Sociol Rev,Misclassification by Whom?,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/UMR4XXLS/Cheng and Powell - 2011 - Misclassification by Whom A Comment on Campbell .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK8HQKRU,journalArticle,2020,"Freelon, Deen; Marwick, Alice; Kreiss, Daniel",False equivalencies: Online activism from left to right,Science,,,10.1126/science.abb2428,https://science.sciencemag.org/content/369/6508/1197,,2020,7/16/21 14:15,7/16/21 14:17,,1197-1201,,6508,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F7SLUUG4,journalArticle,2020,"Green, Ben",Data Science as Political Action: Grounding Data Science in a Politics of Justice,SSRN Electronic Journal,,1556-5068,10.2139/ssrn.3658431,https://dx.doi.org/10.2139/ssrn.3658431,,2020,7/15/21 2:38,7/15/21 2:38,,,,,,,SSRN Electronic Journal,,,,,,,,,,,,,,,Publisher: Elsevier BV,,,https://kp-pdf.s3.amazonaws.com/18347361-f660-40a2-8746-97824b75b9e8.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUROH2NUQSIQZIEG4%2F20210715%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20210715T023737Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=9f28d5001ceebe142d3b8ef16085f3a9653ad869988a5d94746271d8e584876d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6CQDBF4R,journalArticle,2020,"Cave, Stephen; Dihal, Kanta",The Whiteness of AI,Philosophy & Technology,,2210-5433,10.1007/s13347-020-00415-6,https://dx.doi.org/10.1007/s13347-020-00415-6,,2020,7/13/21 14:49,7/13/21 14:49,,685-703,,4,33,,Philosophy & Technology,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media LLC,,,https://kp-pdf.s3.amazonaws.com/6461517d-82e8-4c47-8bf4-bf9584df0272.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUROH2NUQSIQZIEG4%2F20210713%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20210713T144847Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=398ed16537ed82d59f4c4bb63d0c5a0e0d907064ee70061a96eaa7008c83b759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28ALFZEU,journalArticle,2021,"Brown, Shea; Davidovic, Jovana; Hasan, Ali",The algorithm audit: Scoring the algorithms that score us,Big data & society,,2053-9517,10.1177/2053951720983865,,"In recent years, the ethical impact of AI has been increasingly scrutinized, with public scandals emerging over biased outcomes, lack of transparency, and the misuse of data. This has led to a growing mistrust of AI and increased calls for mandated ethical audits of algorithms. Current proposals for ethical assessment of algorithms are either too high level to be put into practice without further guidance, or they focus on very specific and technical notions of fairness or transparency that do not consider multiple stakeholders or the broader social context. In this article, we present an auditing framework to guide the ethical assessment of an algorithm. The audit instrument itself is comprised of three elements: a list of possible interests of stakeholders affected by the algorithm, an assessment of metrics that describe key ethically salient features of the algorithm, and a relevancy matrix that connects the assessed metrics to stakeholder interests. The proposed audit instrument yields an ethical evaluation of an algorithm that could be used by regulators and others interested in doing due diligence, while paying careful attention to the complex societal context within which the algorithm is deployed.",2021,7/13/21 14:43,7/13/21 14:43,,,,1,8,,,,,,,,,,,,,,,,,"Place: London, England Publisher: SAGE Publications",,,,Algorithm audits; algorithm ethics; ethics; ethics of AI; machine learning; machine learning and ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8EJ8TAC5,journalArticle,2018,"Turner Lee, Nicol",Detecting racial bias in algorithms and machine learning,"Journal of information, communication & ethics in society (Online)",,1477-996X,10.1108/JICES-06-2018-0056,,"Purpose The online economy has not resolved the issue of racial bias in its applications. While algorithms are procedures that facilitate automated decision-making, or a sequence of unambiguous instructions, bias is a byproduct of these computations, bringing harm to historically disadvantaged populations. This paper argues that algorithmic biases explicitly and implicitly harm racial groups and lead to forms of discrimination. Relying upon sociological and technical research, the paper offers commentary on the need for more workplace diversity within high-tech industries and public policies that can detect or reduce the likelihood of racial bias in algorithmic design and execution. Design/methodology/approach The paper shares examples in the US where algorithmic biases have been reported and the strategies for explaining and addressing them. Findings The findings of the paper suggest that explicit racial bias in algorithms can be mitigated by existing laws, including those governing housing, employment, and the extension of credit. Implicit, or unconscious, biases are harder to redress without more diverse workplaces and public policies that have an approach to bias detection and mitigation. Research limitations/implications The major implication of this research is that further research needs to be done. Increasing the scholarly research in this area will be a major contribution in understanding how emerging technologies are creating disparate and unfair treatment for certain populations. Practical implications The practical implications of the work point to areas within industries and the government that can tackle the question of algorithmic bias, fairness and accountability, especially African-Americans. Social implications The social implications are that emerging technologies are not devoid of societal influences that constantly define positions of power, values, and norms. Originality/value The paper joins a scarcity of existing research, especially in the area that intersects race and algorithmic development.",2018,7/13/21 14:23,7/13/21 14:23,,252-260,,3,16,,,,,,,,,,,,,,,,,Place: Bingley Publisher: Emerald Publishing Limited,,,,Racism; Social networks; Communication; Algorithms; Bias; Advertising; Artificial intelligence; Big Data; Civil race relations; Civil society; Computer ethics; Ethics; High tech industries; Machine learning; Public policy; Race and political rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9QE2EFHA,journalArticle,2017,"Leurs, Koen","feminist data studies: using digital methods for ethical, reflexive and situated socio-cultural research",Feminist Review,,1417789,10.1057/s41305-017-0043-1,http://libproxy.usc.edu/login?url=https://www.proquest.com/scholarly-journals/feminist-data-studies-using-digital-methods/docview/2056433259/se-2?accountid=14749,"What could a social-justice oriented, feminist data studies look like? The current datalogical turn foregrounds the digital datafication of everyday life, increasing algorithmic processing and data as an emergent regime of power/knowledge. Scholars celebrate the politics of big data knowledge production for its omnipotent objectivity or dismiss it outright as data fundamentalism that may lead to methodological genocide. In this feminist and postcolonial intervention into gender-, race- and geography-blind ‘big data’ ideologies, I call for ethical, anti-oppressive digital data-driven research in the social sciences and humanities. I argue that a reflexive data scholarship can emerge from the reintegration of feminist and postcolonial science studies and ethics of care ideals. Although it is not a panacea for all ails of data mining, I offer a road map for an alternative data-analysis practice that is more power-sensitive and accountable. By incorporating a people-centric and context-aware perspective that acknowledges relationships of dependency, reflects on temptations, and scrutinises benefits and harm, an ‘asymmetrically reciprocal’ (Young, 1997) research encounter may be achieved. I bring this perspective to bear on experiences of a two-year research project with eighty-four young Londoners on digital identities and living in a highly diverse city. I align awareness of uneven relations of power and knowledge with the messy relation of dependency between human and non-human actors in data analysis. This framework productively recognises that digital data cannot be expected to speak for itself, that data do not emerge from a vacuum, and that isolated data patterns cannot be the end-goal of a situated and reflexive research endeavor. Data-driven research, in turn, shows the urgency for renewed feminist ethical reflection on how digital mediation impacts upon responsibility, intersectional power relations, human subjectivity and the autonomy of research participants over their own data.",2017-03,7/12/21 15:48,7/12/21 15:48,,130-154,,1,115,,,,,,,,,,English,,,Arts Premium Collection; GenderWatch; Humanities Index; ProQuest Central; ProQuest One Academic; ProQuest One Literature; Social Science Premium Collection,2056433259,,,Place: London Publisher: Sage Publications Ltd.,,; ,https://libkey.io/libraries/149/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Asocscijournals&atitle=feminist+data+studies%3A+using+digital+methods+for+ethical%2C+reflexive+and+situated+socio-cultural+research&title=Feminist+Review&issn=01417789&date=2017-03-01&volume=115&issue=1&spage=130&au=Leurs%2C+Koen&isbn=&jtitle=Feminist+Review&btitle=&rft_id=info:eric/&rft_id=info:doi/10.1057%2Fs41305-017-0043-1; http://libproxy.usc.edu/login?url=https://usc.illiad.oclc.org/illiad/illiad.dll/OpenURL??ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Asocscijournals&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.jtitle=Feminist+Review&rft.atitle=feminist+data+studies%3A+using+digital+methods+for+ethical%2C+reflexive+and+situated+socio-cultural+research&rft.au=Leurs%2C+Koen&rft.aulast=Leurs&rft.aufirst=Koen&rft.date=2017-03-01&rft.volume=115&rft.issue=1&rft.spage=130&rft.title=Feminist+Review&rft.issn=01417789,Knowledge; Social research; Politics; Social sciences; Research; Values; Data processing; Race; young people; Reflexivity; Intersectionality; Autonomy; Geography; Big Data; Ethics; Accountability; anti-oppressive methods; Consciousness; Cultural identity; Data analysis; Data mining; data studies for social justice; Decolonization; Dependency; ethics of care; Everyday life; Feminism; feminist and postcolonial internet studies; feminist data studies; Genocide; Humanities; Ideology; Information retrieval; Intellectuals; Intervention; Mediation; Objectivity; Postcolonialism; Power; Power relationships; Production; Rehabilitation; Reintegration; Research methodology; Scholarship; Social justice; Sociocultural factors; Subjectivity; Urgency; Women's Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4DBIEQ63,journalArticle,2017,"Twyman, Marlon; Keegan, Brian; Shaw, Aaron",Black Lives Matter in Wikipedia: Collective memory and collaboration around online social movements,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,,,https://doi.org/10.1145/2998181.2998232,,,2017,7/11/21 22:22,7/11/21 22:24,,1400-1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAP2SINC,journalArticle,2020,"Nelson, Laura",Computational grounded theory: A methodological framework,Sociological Methods & Research,,,https://doi.org/10.1177%2F0049124117729703,,,2020,7/11/21 22:19,7/11/21 22:21,,Mar-42,,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3EVJUVR,journalArticle,2021,"Nelson, Laura",Leveraging the alignment between machine learning and intersectionality: Using word embeddings to measure intersectional experiences of the nineteenth century U.S. South,Poetics,,,https://doi.org/10.1016/j.poetic.2021.101539,,,,7/11/21 22:14,7/11/21 22:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
